rep_sitc,rep,country,sitc,sitc_desc,BI2000,BIS2000,BI2005,BIS2005,BI2010,BIS2010,BI2015,BIS2015,BI2020,BIS2020,BI2021,BIS2021,BI2022,BIS2022,BI2023,BIS2023
620244,620,Portugal,244,"Cork, natural, raw and waste",24.842384,.92260778,34.030025,.94290614,40.207916,.95146561,33.698231,.94236016,28.639973,.93252355,28.944843,.93321055,30.852928,.93721139,,
620245,620,Portugal,245,Fuel wood and wood charcoal,.38163534,-.44755995,.60225087,-.24824397,2.4460433,.41962424,1.4719188,.19091195,2.404619,.41256276,4.387454,.62876713,4.110981,.60868567,,
620246,620,Portugal,246,Pulpwood (including chips and wood waste),.25029543,-.59962195,1.0775306,.037318643,5.9204187,.71100014,7.0211458,.75065905,5.0277386,.66820061,4.1993651,.61533767,3.2000015,.52380967,,
620247,620,Portugal,247,Other wood in the rough or roughly squared,1.519551,.20620778,3.4770017,.55327243,4.0977669,.60767132,1.403865,.16800651,.96622503,-.017177572,.8827309,-.062286701,.9498142,-.025738761,,
620248,620,Portugal,248,"Wood, simply worked, and railway sleepers of wood",.71839374,-.16387761,.92028302,-.041513141,1.1352721,.063351244,.80320102,-.10913868,.71823382,-.16398594,.65830785,-.20604868,0,-1,,
620251,620,Portugal,251,Pulp and waste paper,5.690249,.70105743,4.7005744,.64915818,5.6115284,.69749808,5.702167,.70158905,4.8631163,.65888447,5.1445069,.67450601,4.741128,.65163642,,
620261,620,Portugal,261,Silk,0,-1,0,-1,0,-1,0,-1,0,-1,.00039543983,-.9992094,.00016435589,-.99967134,,
620263,620,Portugal,263,Cotton,.22104819,-.63793701,.18516392,-.68753028,.2824811,-.55947715,.23997864,-.61293101,.28601494,-.55519187,.26738414,-.57805353,.21368054,-.64788008,,
620264,620,Portugal,264,"Jute, other textile bast fibres, nes, raw, processed but not spun",.049855664,-.90502375,.1460208,-.74516904,.15409225,-.73296374,.55442977,-.28664544,.64259207,-.21758775,.6050384,-.24607611,.60370332,-.24711347,,
620265,620,Portugal,265,"Vegetable textile fibres, excluding cotton, jute, and waste",.19219059,-.67758411,.1210166,-.78409493,.073985361,-.86222279,.02731798,-.94681692,.19063373,-.67977768,.057226177,-.89174277,.017951513,-.96473014,,
620266,620,Portugal,266,Synthetic fibres suitable for spinning,2.7619147,.46835583,5.7673488,.7044633,10.124552,.82021749,6.6268249,.7377677,4.5143328,.63730878,4.8924289,.66058141,4.1159368,.60906476,,
620267,620,Portugal,267,"Other man-made fibres suitable for spinning, and waste",.043772422,-.91612649,.67949861,-.19083159,.49752083,-.33554068,.17037383,-.70885569,.18297692,-.69065005,.35081485,-.48058781,.29332614,-.54640037,,
620268,620,Portugal,268,Wool and other animal hair (excluding tops),.18920073,-.68180186,.69539618,-.17966527,.61231107,-.24045542,.92440307,-.039283313,.78441846,-.12081333,.62380493,-.23167504,.72256851,-.16105686,,
620269,620,Portugal,269,Old clothing and other old textile articles; rags,.77755779,-.12513922,1.0210618,.010421145,2.2624607,.38696581,.88688254,-.059949391,.90173036,-.051673803,.95309168,-.02401747,.99057752,-.0047335415,,
620271,620,Portugal,271,"Fertilizers, crude",.0047133081,-.99061763,.020622609,-.95958817,14.874337,.8740105,.28087738,-.56142974,.055392869,-.89502889,.019971805,-.9608385,.43589658,-.39285797,,
620273,620,Portugal,273,"Stone, sand and gravel",1.9632623,.32506818,2.5230107,.43230376,4.860024,.65870446,3.0259502,.50322288,4.2714233,.62059581,4.852385,.65825897,4.7120414,.64986247,,
620274,620,Portugal,274,Sulphur and unroasted iron pyrites,.15443569,-.73244816,.6373651,-.22147468,.46895948,-.36150795,1.3634899,.15379371,.62331134,-.23204954,.75164121,-.14178634,.86683279,-.07133323,,
620277,620,Portugal,277,"Natural abrasives, nes",.01720148,-.96617883,.018196771,-.96425688,.02327046,-.95451748,.028535958,-.94451147,.0062253946,-.98762625,.042975333,-.91759092,.064905688,-.87810057,,
620278,620,Portugal,278,Other crude minerals,.1567829,-.72893292,.27551767,-.56799084,.9049201,-.049912803,.67803264,-.19187193,.63362122,-.22427401,.56452376,-.27834427,.75258613,-.14117074,,
620281,620,Portugal,281,Iron ore and concentrates,.0033496507,-.99332309,0,-1,.00158573,-.99683356,2.0729276e-07,-.99999958,.000054317436,-.9998914,0,-1,1.3897966e-07,-.9999997,,
620282,620,Portugal,282,Waste and scrap metal of iron or steel,.78751248,-.11887331,1.206947,.093770705,.99079436,-.0046241037,.8061763,-.10731161,1.0443587,.021698115,1.009684,.0048186514,.81692249,-.10076243,,
620286,620,Portugal,286,Ores and concentrates of uranium and thorium,2.57744,.44094101,0,-1,0,-1,0,-1,.07657028,-.85775143,0,-1,0,-1,,
620287,620,Portugal,287,"Ores and concentrates of base metals, nes",2.2115393,.37724566,2.5228019,.43227008,3.2133534,.52531874,2.8090584,.47493586,1.8960985,.30941576,2.4259074,.41621307,2.1581066,.36670914,,
