rep,country,sitc,sitc_desc,BIS2000,BIS2005,BIS2010,BIS2015,BIS2020,BIS2021,BIS2022,BIS2023
528,Netherlands,074,Tea and mate,-.48434111,-.36009723,-.50172436,-.2937066,-.26181838,-.24175997,-.34389585,
528,Netherlands,075,Spices,.10781875,.026552998,.21436411,.25667959,.19697842,.21122195,.24550396,
528,Netherlands,081,Feeding stuff for animals (not including unmilled cereals),.48257789,.50445223,.48337784,.52373224,.41337836,.37046471,.33732578,
528,Netherlands,091,Margarine and shortening,.47728744,.4595125,.55692375,.55029684,.44571939,.45420736,.33283702,
528,Netherlands,098,"Edible products and preparations, nes",.24560398,.29633448,.33263981,.44012222,.42761943,.41255695,.39799199,
554,New Zealand,001,Live animals chiefly for food,.61187828,.71541053,.61984372,.62384409,.70564717,.75529194,.75297302,
554,New Zealand,011,"Meat and edible meat offal, fresh, chilled or frozen",.90714723,.90873212,.88174218,.91070443,.88481021,.90123844,.90287364,
554,New Zealand,012,"Meat and edible meat offal, in brine, dried, salted or smoked",-.90085369,-.72706145,-.9003213,-.83370161,-.91350442,-.90305084,-.74302107,
554,New Zealand,014,"Meat and edible meat offal, prepared, preserved, nes; fish extracts",.43530032,.40603438,.40874398,.50370252,.37106684,.4701612,.47950631,
554,New Zealand,022,Milk and cream,.95359486,.96413636,.96512443,.97181952,.97762036,.98055112,.97872102,
554,New Zealand,023,Butter,.97782087,.97197676,.97850353,.98372418,.9824754,.98216766,.98346025,
554,New Zealand,024,Cheese and curd,.91855276,.91218585,.87246728,.89942425,.87577122,.88603318,.88414705,
554,New Zealand,025,"Eggs, birds', and egg yolks, fresh, dried or preserved",-.078310892,-.21745832,-.15087751,-.080517687,.081538633,-.070528969,-.059024099,
554,New Zealand,034,"Fish, fresh, chilled or frozen",.79173398,.71241432,.75151545,.69389731,.62744421,.6611464,.60396498,
554,New Zealand,035,"Fish, dried, salted or in brine; smoked fish",.10737672,-.29484496,-.18008579,-.24428523,-.17533956,-.14067724,-.10139212,
554,New Zealand,036,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",.7022751,.79119772,.82495433,.79409719,.81678867,.78654045,.79345638,
554,New Zealand,037,"Fish, crustaceans and molluscs, prepared or preserved, nes",.46792823,.35418126,.42551824,.013901303,-.46530825,-.40784246,-.21437672,
554,New Zealand,041,"Wheat and meslin, unmilled",-.98277807,-.99757129,-.93637645,-.98556441,-.99821991,-.98562914,-.99260163,
554,New Zealand,042,Rice,-.986292,-.97425699,-.97003418,-.98270851,-.98962444,-.98120415,-.98929483,
554,New Zealand,043,"Barley, unmilled",-.48947144,-.9827683,-.96627879,-.98204231,-.94629848,-.9705323,-.97290307,
554,New Zealand,044,"Maize, unmilled",-.88701594,-.91063297,-.73600256,-.37408483,-.039711002,-.13147691,-.3869859,
554,New Zealand,045,"Cereals, unmilled",-.82485247,-.8027004,-.8597973,-.86468601,-.85316461,-.79564035,-.89498633,
554,New Zealand,046,Meal and flour of wheat and flour of meslin,-.87605077,-.93428457,-.8628909,-.89387691,-.62776119,-.75583404,-.72105503,
554,New Zealand,047,Other cereal meals and flour,.45295236,.064883083,.42937726,.29301944,-.17965901,.052165803,.092160657,
554,New Zealand,048,"Cereal, flour or starch preparations of fruits or vegetables",.19593067,.61618578,.67749792,.61660409,.18794356,.19359902,.12315167,
554,New Zealand,054,"Vegetables, fresh or simply preserved; roots and tubers, nes",.39264733,.32405585,.45371017,.35192797,.29567444,.30449894,.1810271,
554,New Zealand,056,"Vegetables, roots and tubers, prepared or preserved, nes",-.10231854,-.070978969,.048669051,.10044926,-.20072635,-.1457115,.085888788,
554,New Zealand,057,"Fruit and nuts, fresh, dried",.67713541,.62112743,.73736888,.760584,.7950983,.80213559,.80919886,
554,New Zealand,058,"Fruit, preserved, and fruits preparations",.11146122,.041346971,.26168898,.12543564,.17144637,.1968423,.12360532,
554,New Zealand,061,Sugar and honey,.18031515,.34802249,.29381898,.67894733,.70395684,.69656372,.61268836,
554,New Zealand,062,"Sugar confectionery and preparations, non-chocolate",-.41225702,.28268325,.36707336,.328446,.32677993,.29214102,.13872534,
554,New Zealand,071,Coffee and coffee substitutes,-.96085364,-.91717893,-.83909839,-.73060799,-.86815989,-.91813886,-.91855943,
554,New Zealand,072,Cocoa,-.97000629,-.98742026,-.96044093,-.96232247,-.96718609,-.95260376,-.9721486,
554,New Zealand,073,"Chocolate and other preparations containing cocoa, nes",.28054097,.41663784,.10188316,.14884771,-.15136415,-.10850738,-.020165103,
554,New Zealand,074,Tea and mate,-.8131634,-.71126598,-.73258543,-.78081518,-.78240633,-.28782851,-.51520079,
554,New Zealand,075,Spices,-.92720413,-.79625112,-.85305291,-.84753042,-.85554695,-.86664647,-.81043631,
554,New Zealand,081,Feeding stuff for animals (not including unmilled cereals),.37070993,.34142336,.29662085,.27757794,.33201206,.33701059,.3250286,
554,New Zealand,091,Margarine and shortening,-.17237638,-.14989261,-.29078588,-.32564023,.03759288,-.17795657,-.20642056,
554,New Zealand,098,"Edible products and preparations, nes",.59028,.73376834,.62985122,.7171576,.75314605,.73396748,.73115456,
752,Sweden,001,Live animals chiefly for food,-.86641818,-.75875127,-.8300944,-.80408597,-.76806474,-.7328853,-.75957185,
752,Sweden,011,"Meat and edible meat offal, fresh, chilled or frozen",-.81769186,-.77654457,-.82075846,-.76049185,-.81721562,-.80219567,-.78467369,
752,Sweden,012,"Meat and edible meat offal, in brine, dried, salted or smoked",-.90074396,-.8417896,-.8199631,-.80479801,-.72743475,-.70546073,-.66280413,
752,Sweden,014,"Meat and edible meat offal, prepared, preserved, nes; fish extracts",-.49410683,-.38166669,-.28160945,-.33290675,-.491788,-.481002,-.38234347,
752,Sweden,022,Milk and cream,-.52451706,-.3432143,-.22923169,-.054032661,-.16522714,-.078205489,-.0063597737,
752,Sweden,023,Butter,.055720922,-.033622138,-.60077178,-.82825166,-.71982372,-.68306196,-.73670328,
752,Sweden,024,Cheese and curd,-.42799494,-.51759487,-.64681387,-.57119113,-.65684223,-.61347169,-.60492009,
752,Sweden,025,"Eggs, birds', and egg yolks, fresh, dried or preserved",-.48562297,-.62301123,-.4611423,-.4301495,-.24304715,-.43768284,-.15405536,
752,Sweden,034,"Fish, fresh, chilled or frozen",-.020390797,.30713603,.68563396,.7693457,.78756171,.78217405,.77932608,
752,Sweden,035,"Fish, dried, salted or in brine; smoked fish",.34820518,.61180687,.77740872,.72920883,.7179513,.68747669,.66837305,
752,Sweden,036,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",-.89806187,-.87138134,-.78898144,-.87482089,-.86022025,-.86018914,-.85405844,
752,Sweden,037,"Fish, crustaceans and molluscs, prepared or preserved, nes",-.27904287,-.31832173,-.05091583,-.18302944,-.24131447,-.24746129,-.26425064,
752,Sweden,041,"Wheat and meslin, unmilled",-.59035766,-.51768553,-.5104723,.0099705076,-.068701789,-.31144294,-.38611493,
752,Sweden,042,Rice,-.96729487,-.94953734,-.96873283,-.95311141,-.96590155,-.96129858,-.97828984,
752,Sweden,043,"Barley, unmilled",.3679432,.040285248,.39824742,.38902339,.25012654,.084882908,-.16007201,
752,Sweden,044,"Maize, unmilled",-.99700093,-.9962759,-.99316192,-.98783034,-.80243134,-.8277452,-.8637749,
752,Sweden,045,"Cereals, unmilled",.45669657,.3535364,.25794613,.40921268,.43305051,.34246659,.4022817,
752,Sweden,046,Meal and flour of wheat and flour of meslin,-.77539253,-.65477973,-.67759126,-.76604712,-.86391681,-.83867598,-.86939794,
752,Sweden,047,Other cereal meals and flour,-.65853655,-.77925539,-.84081781,-.80118519,-.60234088,-.58107007,-.56077212,
752,Sweden,048,"Cereal, flour or starch preparations of fruits or vegetables",-.079096772,.028084448,.028174749,.055978034,.084929474,.086207382,.048515555,
752,Sweden,054,"Vegetables, fresh or simply preserved; roots and tubers, nes",-.86274934,-.81020391,-.69562805,-.70732039,-.815992,-.79188401,-.78437376,
752,Sweden,056,"Vegetables, roots and tubers, prepared or preserved, nes",-.88439053,-.78852844,-.6167739,-.62879384,-.85090357,-.83221185,-.74341691,
752,Sweden,057,"Fruit and nuts, fresh, dried",-.93999654,-.87436724,-.80053115,-.82232833,-.86276507,-.87360036,-.86438388,
752,Sweden,058,"Fruit, preserved, and fruits preparations",-.68146437,-.6577816,-.47491008,-.50879925,-.47017297,-.46276835,-.45510495,
752,Sweden,061,Sugar and honey,-.57003033,-.56314784,-.55569458,-.61432236,-.64841986,-.70414591,-.72296423,
752,Sweden,062,"Sugar confectionery and preparations, non-chocolate",-.33841085,-.33931801,-.20932935,.0065578064,-.0078541869,.014051568,-.012539956,
752,Sweden,071,Coffee and coffee substitutes,-.51963681,-.2574223,-.37419966,-.28191933,-.32994387,-.32950148,-.28995168,
752,Sweden,072,Cocoa,-.99043339,-.97887862,-.94823498,-.92358238,-.95854956,-.96015584,-.972197,
752,Sweden,073,"Chocolate and other preparations containing cocoa, nes",.082338408,.054380454,-.0095438184,.0052084615,.0095680505,.028594403,.015945213,
752,Sweden,074,Tea and mate,-.36888286,-.56251788,-.53533536,-.75236654,-.79760385,-.76590633,-.63561648,
752,Sweden,075,Spices,-.77531785,-.63599157,-.38088354,-.51179057,-.49125937,-.49252331,-.48022884,
752,Sweden,081,Feeding stuff for animals (not including unmilled cereals),-.78054446,-.76149487,-.53511864,-.45734495,-.45914152,-.42785543,-.44358811,
752,Sweden,091,Margarine and shortening,.34474033,.54544181,.61462897,.71139866,.37800527,.44380799,.36610201,
752,Sweden,098,"Edible products and preparations, nes",-.26732194,-.013499082,.045374975,.099155173,-.033599276,-.011839431,-.0055602686,
